Time,Price,Bid Wall,Bid Wall Scale,Ask Wall,Ask Wall Scale,Total Bid/Ask Ratio,1min Volume,5min Volume,24h Volume
2017-08-22T22:06:27.932Z,313.985,312.76,2.370460048,315.34,6.06098669,0.570196106,1.42934579,213.6342785,210871.3481
2017-08-22T22:06:29.958Z,313.985,313.02,1.83211677,315.32,5.048673724,0.790712765,1.42934579,213.6342785,210871.3481
2017-08-22T22:06:32.174Z,313.985,313.02,1.83211677,315,1.315009463,1.512534127,0.00311168,213.6342785,210871.3481
2017-08-22T22:06:34.237Z,313.985,313.02,2.146312504,315,0.930333125,1.667940455,,213.6342785,210871.3481
2017-08-22T22:06:36.222Z,313.985,313.02,1.83211677,315.29,1.475916614,1.290291223,0.00311168,213.6342785,210871.3481
2017-08-22T22:06:38.247Z,313.985,313.02,1.83211677,315,0.851324064,1.849337489,0.00311168,213.6342785,210871.3481
2017-08-22T22:06:40.208Z,313.985,313.02,2.146312504,315.51,2.27489018,1.222893978,0.00311168,213.6342785,210871.3481
2017-08-22T22:06:42.187Z,313.985,313.02,2.33211677,315.51,2.27489018,1.060968167,36.981818,213.6342785,210871.3481
2017-08-22T22:06:44.158Z,313.985,313.02,2.33211677,315.49,2.096612951,1.177170363,0.00311168,213.6342785,210871.3481
2017-08-22T22:06:46.117Z,313.985,313.02,2.33211677,315.37,2.445568014,1.225864566,0.00311168,213.6342785,210871.3481
2017-08-22T22:06:48.073Z,313.985,313.02,2.33211677,315.37,2.024577074,1.110249921,36.981818,213.6342785,210871.3481
2017-08-22T22:06:50.202Z,313.985,313.02,2.104381815,315.37,2.024577074,1.288702155,36.98334204,213.6342785,210871.3481
2017-08-22T22:06:58.074Z,313.985,313.02,2.060244443,315.35,2.524578254,0.875314569,36.981818,213.6342785,210871.3481
2017-08-22T22:06:60.009Z,313.985,313.02,1.83231677,315,0.851324064,1.465833161,,,210871.3481
2017-08-22T22:07:01.955Z,313.985,313.49,2.463172625,315.49,2.096612951,0.850990996,36.981818,213.6342785,210871.3481
2017-08-22T22:07:04.256Z,313.985,313.49,2.735593933,315.43,2.497777035,0.759690061,36.981818,213.6342785,210871.3481
2017-08-22T22:07:06.352Z,313.985,313.49,2.735593933,315.43,2.497777035,0.743718226,36.981818,213.6342785,210871.3481
2017-08-22T22:07:08.211Z,313.985,313.51,2.592854785,315.4,4.456133384,0.729044801,36.981818,213.6342785,210871.3481
2017-08-22T22:07:10.269Z,313.985,313.51,2.592854785,315.37,2.024577074,1.186700346,36.981818,213.6342785,210871.3481
2017-08-22T22:07:12.237Z,313.975,313.51,2.621050538,315.37,2.474077074,1.19823967,36.981818,213.6342785,210871.3481
2017-08-22T22:07:14.282Z,313.975,313.51,2.396509358,315.36,2.479077664,1.12841896,36.981818,213.6342785,210871.3481
2017-08-22T22:07:16.247Z,313.975,313.51,2.396509358,315.36,2.479077664,1.156205539,36.981818,213.6342785,210871.3481
2017-08-22T22:07:18.252Z,313.975,313.51,2.396509358,315.36,2.479077664,1.146401366,36.981818,213.6342785,210871.3481
2017-08-22T22:07:20.247Z,313.975,313.51,2.403297656,315.35,2.47816164,1.133280806,36.981818,213.6342785,210871.3481
2017-08-22T22:07:22.384Z,313.975,313.51,2.627838836,315.35,2.47816164,1.176105837,36.981818,213.6342785,210871.3481
2017-08-22T22:07:24.786Z,313.975,313.51,2.627838836,314.92,1.015138912,1.775959278,36.981818,213.6342785,210871.3481
2017-08-22T22:07:26.956Z,313.975,313.51,2.627838836,314.92,1.015138912,2.403934779,36.981818,213.6342785,210871.3481
2017-08-22T22:07:29.488Z,313.975,313.51,2.403297656,315.51,2.03895218,1.382217054,36.981818,213.6342785,210871.3481
2017-08-22T22:07:32.154Z,313.975,313.51,2.403297656,314.92,1.012378912,1.289673652,1.11280438,213.6342785,210871.3481
2017-08-22T22:07:34.711Z,313.975,313.51,2.403297656,315.43,2.473077035,1.108981247,1.11280438,75.1368613,210871.3481
2017-08-22T22:07:37.157Z,313.975,313.51,2.627838836,315.43,2.473077035,1.135911563,1.11280438,75.1368613,210871.3481
2017-08-22T22:07:39.238Z,314.135,313.51,1.76717904,315.43,2.473077035,1.19370716,1.11280438,75.1368613,210871.3481
2017-08-22T22:07:41.277Z,314.135,313.51,2.26717904,314.92,1.48876,1.454901896,1.11280438,75.1368613,210871.3481
2017-08-22T22:07:43.440Z,314.135,313.51,1.76717904,314.92,1.012378912,2.167685082,,75.1368613,210871.3481
2017-08-22T22:07:45.627Z,314.135,313.51,1.76717904,314.92,1.012378912,2.151723402,1.11280438,75.1368613,210871.3481
2017-08-22T22:07:47.604Z,314.135,313.51,1.76717904,314.92,1.012378912,2.089949403,1.11280438,75.1368613,210871.3481
2017-08-22T22:07:49.571Z,314.135,313.51,1.76717904,314.92,1.012378912,1.708519321,1.11280438,75.1368613,210871.3481
2017-08-22T22:07:51.639Z,314.135,313.51,1.76717904,314.92,1.012378912,1.747372955,1.11280438,75.1368613,210871.3481
2017-08-22T22:07:53.656Z,314.135,313.51,1.76717904,314.92,1.012378912,2.154922829,1.11280438,75.1368613,210871.3481
2017-08-22T22:07:55.794Z,314.135,313.51,1.76717904,314.92,1.012378912,1.499541004,1.11280438,75.1368613,210871.3481
2017-08-22T22:07:57.801Z,314.135,313.83,2.411766453,315.56,2.25729005,1.003306073,1.11280438,75.1368613,210871.3481
2017-08-22T22:07:59.765Z,313.995,313.76,2.904375516,314.92,1.55376,1.321726078,,,210871.3481
2017-08-22T22:08:01.653Z,314.06,313.84,1.79265222,315,1.156991341,1.586272113,1.11280438,75.1368613,210871.3481
2017-08-22T22:08:03.661Z,314.135,313.84,1.91932222,315,0.851324064,1.230514962,,75.1368613,210871.3481
2017-08-22T22:08:05.820Z,314.135,313.84,2.070038786,315,1.545656788,1.54562143,1.11280438,75.1368613,210871.3481
2017-08-22T22:08:07.887Z,314.135,313.84,2.070038786,315,1.351324064,2.625005797,1.11280438,75.1368613,210871.3481
2017-08-22T22:08:09.851Z,314.135,313.84,2.070038786,315,1.545656788,1.811251376,1.11280438,75.1368613,210871.3481
2017-08-22T22:08:11.950Z,314.135,313.84,2.285201929,315.58,0.944119444,2.153999708,1.11280438,75.1368613,210871.3481
2017-08-22T22:08:13.931Z,314.135,313.98,1.748900079,315.58,0.944119444,1.473600562,1.11280438,75.1368613,210871.3481
2017-08-22T22:08:15.849Z,314.135,313.98,1.875770079,315.58,0.944119444,1.788096862,1.11280438,75.1368613,210871.3481
2017-08-22T22:08:17.797Z,314.075,313.98,1.774512902,315,0.851324064,1.441783613,1.11280438,75.1368613,210871.3481
2017-08-22T22:08:19.734Z,314.085,313.98,1.648439313,315,1.239989511,0.902387556,1.11280438,75.1368613,210871.3481
2017-08-22T22:08:21.770Z,314.24,313.98,1.634542902,315,1.239989511,1.696518844,1.11280438,75.1368613,210871.3481
2017-08-22T22:08:23.719Z,314.245,313.98,1.634542902,315,1.239989511,1.648707684,2.6191455,75.1368613,210871.3481
2017-08-22T22:08:25.749Z,314.255,313.98,1.634542902,315,1.268325894,2.199374717,2.6191455,75.1368613,210871.3481
2017-08-22T22:08:27.801Z,314.255,313.98,1.634542902,315,0.851324064,2.718331424,2.6191455,75.1368613,210871.3481
2017-08-22T22:08:29.845Z,314.255,313.98,1.634542902,315,1.351324064,1.708656011,2.6191455,75.1368613,210871.3481
2017-08-22T22:08:31.803Z,314.255,313.98,1.709910358,314.99,1.824153582,1.514196028,2.6191455,75.1368613,210871.3481
2017-08-22T22:08:33.790Z,314.365,313.98,1.761292902,314.99,2.184482645,1.381694915,2.6191455,75.1368613,210871.3481
2017-08-22T22:08:35.796Z,314.5,314.06,1.85893952,315.86,2.121999911,0.589113767,2.6191455,75.1368613,210871.3481
2017-08-22T22:08:37.944Z,314.5,314.08,2.760429528,315.85,3.2231008,0.765553228,2.6191455,75.1368613,210871.3481
2017-08-22T22:08:39.955Z,314.515,314.08,2.760429528,315.85,5.251326951,0.627529754,2.6191455,75.1368613,210871.3481
2017-08-22T22:08:42.028Z,314.515,314.08,2.80886242,315.82,2.654886866,0.932398686,2.6191455,75.1368613,210871.3481
2017-08-22T22:08:44.009Z,314.515,314.08,2.675632033,315.81,2.56202884,0.912925889,2.6191455,75.1368613,210871.3481
2017-08-22T22:08:45.998Z,314.515,314.08,2.675632033,315.81,2.167087766,0.752595682,2.6191455,75.1368613,210871.3481
2017-08-22T22:08:48.112Z,314.515,314.08,2.675632033,315.81,2.167087766,0.977297339,2.6191455,75.1368613,210871.3481
2017-08-22T22:08:50.313Z,314.515,314.08,2.675632033,315.81,2.635987766,0.901177369,2.6191455,75.1368613,210871.3481
2017-08-22T22:08:52.411Z,314.515,314.08,2.442088565,315.78,2.753648134,0.714957931,2.6191455,75.1368613,210871.3481
2017-08-22T22:08:54.430Z,314.515,314.08,2.442088565,315.78,2.711548134,0.650480111,2.6191455,75.1368613,210871.3481
2017-08-22T22:08:56.519Z,314.515,314.08,2.211261389,315.78,2.711548134,0.576302547,2.6191455,75.1368613,210871.3481
2017-08-22T22:08:58.475Z,314.515,313.83,2.10030119,315.78,2.279148134,0.902282489,2.6191455,75.1368613,210871.3481
2017-08-22T22:08:60.459Z,314.515,313.83,2.567752773,314.52,2.48338444,0.712070717,,,210871.3481
2017-08-22T22:09:02.464Z,314.515,313.83,2.659522773,314.52,2.48338444,0.653843439,52.25994255,75.1368613,210871.3481
2017-08-22T22:09:04.731Z,314.515,313.85,3.37743683,314.52,2.48413444,0.872439461,52.25994255,75.1368613,210871.3481
2017-08-22T22:09:06.755Z,314.515,313.83,2.361382101,314.52,2.48163444,0.690528576,52.25994255,75.1368613,210871.3481
2017-08-22T22:09:09.075Z,314.515,313.76,3.460079496,314.52,2.48153444,0.743451785,52.25994255,75.1368613,210871.3481
2017-08-22T22:09:11.500Z,314.515,313.76,3.470376636,314.52,2.48163444,0.752334811,,75.1368613,210871.3481
2017-08-22T22:09:13.613Z,314.515,313.76,5.076103626,314.52,2.481619224,0.767798698,52.25994255,75.1368613,210871.3481
2017-08-22T22:09:15.670Z,314.515,313.77,2.23291685,314.52,2.481619224,0.693268484,52.25994255,75.1368613,210871.3481
2017-08-22T22:09:17.759Z,314.515,313.77,2.23291685,314.52,2.538310238,0.68743786,52.25994255,75.1368613,210871.3481
2017-08-22T22:09:19.844Z,314.515,313.77,2.225193997,314.52,2.581519224,0.69792723,52.25994255,75.1368613,210871.3481
2017-08-22T22:09:21.899Z,314.515,313.8,2.275649954,314.52,2.581619224,0.732391091,52.25994255,75.1368613,210871.3481
2017-08-22T22:09:23.961Z,314.515,313.8,2.275649954,314.52,2.581619224,0.725334101,52.25994255,75.1368613,210871.3481
2017-08-22T22:09:26.046Z,314.515,313.79,2.25476713,314.52,2.581619224,0.722227913,52.25994255,75.1368613,210871.3481
2017-08-22T22:09:28.067Z,314.515,313.75,1.411668046,314.52,2.581519224,0.48685144,52.25994255,75.1368613,210871.3481
2017-08-22T22:09:30.117Z,314.515,313.31,1.76242761,314.52,2.627419224,0.719406817,52.25994255,75.1368613,210871.3481
2017-08-22T22:09:32.133Z,314.515,313.31,1.76242761,314.52,2.627404009,0.742449301,52.25994255,75.1368613,210871.3481
2017-08-22T22:09:34.201Z,314.515,313.31,1.76242761,314.52,2.627404009,0.717149703,52.25994255,75.1368613,210871.3481
2017-08-22T22:09:36.526Z,314.515,313.76,3.487097865,314.52,2.627404009,0.685455808,52.25994255,75.1368613,210871.3481
2017-08-22T22:09:39.004Z,314.42,313.76,3.519367865,315.4,2.031592859,0.683592524,52.25994255,75.1368613,210871.3481
2017-08-22T22:09:40.978Z,314.355,313.76,3.599435087,315.4,2.031592859,0.706729793,52.25994255,75.1368613,210871.3481
2017-08-22T22:09:42.921Z,314.355,313.76,3.472335087,315.4,2.031592859,0.672998399,52.25994255,75.1368613,210871.3481
2017-08-22T22:09:44.962Z,314.355,313.76,3.357143858,315.4,2.031592859,0.657513795,52.25994255,75.1368613,210871.3481
2017-08-22T22:09:46.958Z,314.355,313.76,5.029682432,315.39,4.062321744,0.722973483,52.25994255,75.1368613,210871.3481
2017-08-22T22:09:48.867Z,314.355,312.53,1.74254566,315.38,2.034120524,0.625524095,52.25994255,75.1368613,210871.3481
2017-08-22T22:09:50.836Z,314.355,313.75,2.334678816,315.38,2.034120524,0.488311955,52.25994255,75.1368613,210871.3481
